이름	설명	시작 키 배열	끝 키 배열
Terminal Profile 38	서명패드사용, 신용출력매수 1장(서명패드용)	특수, 7001, 2, 4, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 4, 1, {D:신용출력매수}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 39	현금출력매수 2장	특수, 7001, 2, 4, 2, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 4, 2, {D:현금출력매수}, 종료, 종료, 종료, 종료
Terminal Profile 40-01	안내문구인쇄, 안내문구 - 01234567890123456789012345678901234567890	특수, 7001, 2, 4, 4, 2, 01234567890123456789012345678901234567890, 입력, 종료, 종료, 종료, 종료	특수, 7001, 2, 4, 4, {D:안내문구인쇄}, {D:안내문구등록}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 40	안내문구인쇄, 안내문구 - 감사합니다	특수, 7001, 2, 4, 4, 2, 감사합니다, 입력, 종료, 종료, 종료, 종료	특수, 7001, 2, 4, 4, {D:안내문구인쇄}, {D:안내문구등록}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 41	거래시간 비인쇄	특수, 7001, 2, 4, 5, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 4, 5, {D:거래시간인쇄}, 종료, 종료, 종료, 종료
Terminal Profile 42	판매금액확인	특수, 7001, 2, 6, 2, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 6, 2, {D:판매금액확인}, 종료, 종료, 종료, 종료
Terminal Profile 43	금액자동입력, 자동입력금액10000	특수, 7001, 2, 6, 3, 2, 10000, 입력, 종료, 종료, 종료, 종료	특수, 7001, 2, 6, 3, {D:금액자동입력}, {D:자동입력금액}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 44	서명출력, 서명패드 사용	특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 45	수표조회인쇄	특수, 7001, 2, 4, 6, 2, 종료, 종료, 종료, 종료	특수, 7001, 2, 4, 6, {D:수표조회인쇄}, 종료, 종료, 종료, 종료
Terminal Profile 46-01	면세유사용,면세유단가501	특수, 7001, 4, 3, 2, 2, 501, 입력, 501, 입력, 501, 입력, 501, 입력, 501, 입력, 501, 입력, 501, 입력, 501, 입력, 종료, 종료, 종료, 종료	특수, 7001, 4, 3, {D:면세유사용}, {D:면세유단가입력사용}, {D:면세유휘발유}, 입력, {D:면세유실내등유}, 입력, {D:면세유보일러등유}, 입력, {D:면세유경유}, 입력, {D:면세유윤활유}, 입력, {D:면세유중유}, 입력, {D:면세유난방용가스}, 입력, {D:면세유차량용가스}, 입력, 종료, 종료, 종료, 종료
Terminal Profile 46-02	면세유사용,면세유단가입력비사용,서명패드	특수, 7001, 4, 3, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 3, {D:면세유사용}, {D:면세유단가입력사용}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile 46	면세유사용,면세유단가입력비사용	특수, 7001, 4, 3, 2, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 3, {D:면세유사용}, {D:면세유단가입력사용}, 종료, 종료, 종료, 종료
Terminal Profile 47-01	현금카드결제사용, PINPAD사용, 키인승인사용	특수, 7001, 3, 2, 3, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 2, 3, 1, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, 2, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 3, {D:현금카드결제}, {D:영수증출력매수}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 2, {D:핀패드}, {D:핀패드포트}, 종료, 종료, 종료, 종료, 특수, 2670, 1, 1, {D:키인설정}, 종료, 종료, 종료, 종료
Terminal Profile 47	현금카드결제사용, PINPAD사용	특수, 7001, 3, 2, 3, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 2, 3, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 3, {D:현금카드결제}, {D:영수증출력매수}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 2, {D:핀패드}, {D:핀패드포트}, 종료, 종료, 종료, 종료
Terminal Profile 48-01	세금미포함, 비과세사용	특수, 7001, 2, 1, 3, 2, 종료, 종료, 종료, 종료, 특수, 7001, 3, 5, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 5, 1, {D:비과세}, {D:약국의약품사용}, {D:금액입력화면반전}, 종료, 종료, 종료, 종료
Terminal Profile 48-02	비과세사용,약국의약품사용	특수, 7001, 3, 5, 1, 2, 2, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 5, 1, {D:비과세}, {D:약국의약품사용}, {D:금액입력화면반전}, 종료, 종료, 종료, 종료
Terminal Profile 48-03	비과세사용,금액입력화면반전사용	특수, 7001, 3, 5, 1, 2, 1, 2, 종료, 종료, 종료, 종료	특수, 7001, 3, 5, 1, {D:비과세}, {D:약국의약품사용}, {D:금액입력화면반전}, 종료, 종료, 종료, 종료
Terminal Profile 48	비과세사용	특수, 7001, 3, 5, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 5, 1, {D:비과세}, {D:약국의약품사용}, {D:금액입력화면반전}, 종료, 종료, 종료, 종료
Terminal Profile 49	신용RF동글 사용, PINPAD1	특수, 7001, 7, 3, 3, 1, 종료, 종료, 종료, 종료	특수, 7001, 7, 3, {D:신용RF동글}, {D:신용RF동글패드포트}, 종료, 종료, 종료, 종료
Terminal Profile POS1 01	POS 사용 설정, POS결과전송 사용	특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 02	POS 사용 설정, POS결과전송 사용, 세금미포함금액	특수, 7001, 2, 1, 3, 2, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 03	POS 사용 설정, POS결과전송 사용, 부가세 비사용, 봉사료	특수, 7001, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 04	POS 사용 설정, POS결과전송 사용, 세금미포함금액, 봉사료입력	특수, 7001, 2, 1, 3, 2, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 05-01	POS 사용 설정, POS결과전송 사용, 할부개월 사용, 서명패드기능 사용	특수, 7001, 2, 3, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 3, {D:할부설정}, {D:5만미만할부사용}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 05	POS 사용 설정, POS결과전송 사용, 서명패드기능 사용	특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 06	POS 사용 설정, POS결과전송 사용, 세금미포함금액, 서명패드기능 사용	특수, 7001, 2, 1, 3, 2, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 07	POS 사용 설정, POS결과전송 사용, 봉사료포함, 서명패드기능 사용	특수, 7001, 2, 2, 3, 1, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 08	POS 사용 설정, POS결과전송 사용, 세금미포함, 봉사료포함, 서명패드기능 사용	특수, 7001, 2, 1, 3, 2, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 3, 1, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, {D:세금포함}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 10-01	POS 사용 설정, POS결과전송 사용, 할부개월 사용, 5만원미만 할부 사용	특수, 7001, 2, 3, 2, 2, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 3, {D:할부설정}, {D:5만미만할부사용}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 10	POS 사용 설정, POS결과전송 사용, 할부개월 사용	특수, 7001, 2, 3, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 3, {D:할부설정}, {D:5만미만할부사용}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 11	POS 사용 설정, POS결과전송 사용, 신용비밀번호사용	특수, 7001, 2, 6, 4, 2, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 6, 4, {D:신용비밀번호}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 23	POS 사용 설정, POS결과전송 사용, SKT, KTF 사용, 상품코드 사용	특수, 7001, 3, 1, 1, 3, 2, 2, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 1, 4, 2, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 1, 1, 3, {D:SKT멤버쉽}, {D:SKT멤버쉽상품코드사용}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 1, 1, 4, {D:KTF멤버쉽}, {D:KTF멤버쉽상품코드사용}, {D:KTF멤버쉽조회후인쇄}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 24	POS 사용 설정, POS결과전송 사용, 은련사용	특수, 7001, 3, 2, 1, 2, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 1, {D:은련}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 25	POS 사용 설정, POS결과전송 사용, 서명패드 사용, 은련사용	특수, 7001, 3, 2, 1, 2, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 1, {D:은련}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 26	POS 사용 설정, POS결과전송 사용, 수표조회기 사용	특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 4, 2, 종료, 종료, 종료, 종료	특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 4, {D:수표조회기}, 종료, 종료, 종료, 종료
Terminal Profile POS1 27-01	POS 사용 설정, POS결과전송 사용, DCC 사용, 서명패드 사용	특수, 7001, 3, 2, 2, 1, 입력, 2, 2, 30, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 2, {D:DCC}, 입력, {D:Offer인쇄}, {D:DCC선택여부}, {D:DCC선택대기시간}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 27-02	POS 사용 설정, POS결과전송 사용, DCC 사용, 핀패드PINPAD1	특수, 7001, 3, 2, 2, 1, 입력, 2, 2, 30, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 2, 3, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 2, {D:DCC}, 입력, {D:Offer인쇄}, {D:DCC선택여부}, {D:DCC선택대기시간}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 2, {D:핀패드}, {D:핀패드포트}, 종료, 종료, 종료, 종료
Terminal Profile POS1 27	POS 사용 설정, POS결과전송 사용, DCC 사용	특수, 7001, 3, 2, 2, 1, 입력, 2, 2, 30, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 2, 2, {D:DCC}, 입력, {D:Offer인쇄}, {D:DCC선택여부}, {D:DCC선택대기시간}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 29	POS 사용 설정, POS결과전송 사용, 부가세수동입력, 세금포함금액, 봉사료사용, 봉사료 수동입력, 봉사료미포함	특수, 7001, 2, 1, 2, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, 2, 1, 2, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 1, {D:부가세설정}, 종료, 종료, 종료, 종료, 특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료만으로승인요청가능}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 32	POS 사용 설정, POS결과전송 사용, 봉사료, 봉사료수동입력, 봉사료만으로승인요청가능, 봉사료미포함	특수, 7001, 2, 2, 2, 2, 2, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료만으로승인요청가능}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 33	POS 사용 설정, POS결과전송 사용, 봉사료, 봉사료수동입력, 봉사료포함	특수, 7001, 2, 2, 2, 1, 1, 10, 입력, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 2, {D:봉사료설정}, {D:봉사료만으로승인요청가능}, {D:봉사료포함}, {D:봉사료율}, 입력, {D:전표인쇄시문구}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 34	POS 사용 설정, POS결과전송 사용, 현금+OCB소득공제사용	특수, 7001, 2, 5, 4, 2, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 2, 5, 4, {D:현금영수증+OCB}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 46-01	POS 사용 설정, POS결과전송 사용, 면세유사용,면세유단가501	특수, 7001, 4, 3, 2, 2, 501, 입력, 501, 입력, 501, 입력, 501, 입력, 501, 입력, 501, 입력, 501, 입력, 501, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 3, {D:면세유사용}, {D:면세유단가입력사용}, {D:면세유휘발유}, 입력, {D:면세유실내등유}, 입력, {D:면세유보일러등유}, 입력, {D:면세유경유}, 입력, {D:면세유윤활유}, 입력, {D:면세유중유}, 입력, {D:면세유난방용가스}, 입력, {D:면세유차량용가스}, 입력, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 46-02	POS 사용 설정, POS결과전송 사용, 면세유사용,면세유단가입력비사용,서명패드	특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료, 특수, 7001, 4, 3, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, 3, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료, 특수, 7001, 4, 3, {D:면세유사용}, {D:면세유단가입력사용}, 종료, 종료, 종료, 종료, 특수, 7001, 7, 1, {D:서명패드}, {D:서명패드포트}, {D:비서명거래 방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 46	POS 사용 설정, POS결과전송 사용, 면세유사용,면세유단가입력비사용	특수, 7001, 4, 3, 2, 1, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, 3, 3, 2, 2, 1, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 4, 3, {D:면세유사용}, {D:면세유단가입력사용}, 종료, 종료, 종료, 종료, 특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
Terminal Profile POS1 02	POS 사용 설정, POS결과전송 사용, 전송실패시저장 사용	특수, 7001, 3, 4, 3, 3, 2, 2, 2, 2, 2, 1, 1, 종료, 종료, 종료, 종료	특수, 7001, 3, 4, {D:POS연동}, {D:POS통신속도}, {D:단말전표인쇄}, {D:POS결과전송}, {D:전송실패시저장}, {D:자동전송여부}, {D:전표출력시부저음}, {D:미전송결과삭제}, {D:단말단독거래방지}, 종료, 종료, 종료, 종료
